Name,Category,Cost,Notes,Price,Profit,Qty,Receipt,Sell,Status
9.7mm Akoya真多麻耳勾,akoya,CN¥599.00,,$299.00,$0.00,,安納塔,,In stock
9-10 大溪地孔雀綠手串,大溪地,"CN¥3,680.00",,,$0.00,,安納塔,,In stock
18k 11-12厚饅頭萬能扣,澳白,"CN¥1,580.00",,,$0.00,,釘崎珠寶,,In stock
11.1鉑金灰裸珠,大溪地,CN¥428.00,月光石改18k三鑽,,$188.86,,安納塔,$250.00,In stock
7-9.5澳白手鍊,澳白,"CN¥2,499.00",,,$0.00,,阿找,,In stock
9.8mm Akoya真多麻素丁,akoya,CN¥729.00,改18k,,$194.86,,安納塔,$299.00,In stock
10.1孔雀綠戒指,大溪地,CN¥499.00,m家星光款,,$0.00,,安納塔,,In stock
9-10大溪地素丁,大溪地,CN¥399.00,,,$42.00,,老周思曼,$99.00,In stock
50cm 豆豆鏈 italy,素鏈,CN¥320.00,,,$34.29,,永久,$80.00,In stock
60cm 滿天星 italy,素鏈,CN¥288.00,,,$0.00,,永久,,In stock
11mm 大溪地keshi耳飾,大溪地,CN¥699.00,,,$174.14,,安納塔,$274.00,In stock
彈力手鏈 italy,素鏈,CN¥310.00,,,$0.00,,永久,,In stock
85cm 滿天星 italy,素鏈,CN¥366.00,,,$0.00,,永久,,In stock
11.1鉑金灰戒指（像兩層）,大溪地,CN¥650.00,,,$0.00,,安納塔,,In stock
18k 8.6 Akoya (y字鏈),akoya,CN¥790.00,寄加拿大,,$186.14,,安納塔,$299.00,In stock
10.8 大溪地素丁（孔雀紫）,大溪地,CN¥699.00,改18k,,$139.14,,安納塔,$239.00,In stock
9.8mm 極光綠金珠戒指,金珠,CN¥699.00,,,$0.00,,安納塔,,In stock
3.5-4 baby鏈,淡水珍珠,CN¥279.00,"  1. $129
  2. $149",,$238.14,2,安納塔,$278.00,In stock
11.0澳白戒指,澳白,CN¥799.00,炫青粉光的裸珠(做雙四葉草款),,$184.86,,安納塔,$299.00,In stock
10.7 澳白黛妃,澳白,CN¥799.00,巨亮炫彩,$349.00,$0.00,,安納塔,,In stock
3.2-4 baby鏈,淡水珍珠,CN¥299.00,,,$0.00,,安納塔,,In stock
18k 真鑽真多麻手鏈,akoya,"CN¥2,580.00",,,$0.00,,美美子,,In stock
10.9乾枯金珠花朵耳飾,金珠,CN¥699.00,,,$0.00,,安納塔,,In stock
4-4.5無暇baby鏈,淡水珍珠,CN¥399.00,,,$142.00,,安納塔,$199.00,In stock
18k 7.5-8 真多麻素丁,akoya,CN¥659.00,7.8正圓,,$0.00,,安納塔,,In stock
12.0 乾枯澳白戒指,澳白,CN¥899.00,卸下來粉光乾枯,,$0.00,,安納塔,,In stock
9-10 大溪地6球18k項鍊,大溪地,CN¥499.00,主要買鏈子,,$0.00,,老周思曼,,In stock
11.7水滴任意扣,澳白,CN¥334.00,,,$81.29,,安納塔,$129.00,In stock
8.5-9 akoya串,akoya,"CN¥2,350.00",巴洛克但巨亮,,$0.00,,安納塔,,In stock
10.2藍綠色大溪地,大溪地,CN¥299.00,藍光大溪地（蝴蝶結）,,$0.00,,安納塔,,In stock
10.4孔雀藍路路通,大溪地,CN¥520.00,,,$0.00,,安納塔,,In stock
澳白素丁11-12,澳白,CN¥980.00,"1. 澳白吊墜流線($249)
2. 澳白煙花戒指($299)
3. 澳白吊墜流線($274)???不確定",,$408.00,2,安納塔,$548.00,In stock
4-4.5 baby正圓,,CN¥499.00,,,$0.00,,安納塔,,In stock
12mm 澳白吊墜方扣頭,,CN¥520.00,改款成遮瑕,,$149.71,,安納塔,$224.00,In stock
10.5巨亮乾估金珠戒指（十字）,,CN¥599.00,,,$0.00,,安納塔,,In stock
11.5 乾枯金珠吊墜,,CN¥428.00,卸下來了,,$0.00,,安納塔,,In stock
9.6大溪地三環戒指(綠),,CN¥499.00,,,$0.00,,安納塔,,In stock
9.9mm 大溪地耳釘,,CN¥659.00,兩顆顏色不太一樣,,$0.00,,安納塔,,In stock
10.8 大溪地（藍紫色）,,CN¥499.00,卸下來了（有刮痕）,,$0.00,,安納塔,,In stock
8-9 18k真多麻路路通,,CN¥399.00,"  1. $199
  2. $149
  3. 送禮(有暇)",,$291.00,3,老周思曼,$348.00,In stock
乾枯澳白巴洛克y字鏈,,CN¥199.00,,,$0.00,,老周思曼,,In stock
11.8 鉑金灰素丁,,CN¥599.00,微巴微瑕,,$0.00,,安納塔,,In stock
akoya多株煙花款耳飾,,CN¥428.00,最大顆是淡水,$149.00,$0.00,,安納塔,,In stock
10.5澳白戒指（十字）,,CN¥739.00,巨亮近圓,,$0.00,,安納塔,,In stock
11-12 澳白耳釘（粉鑽）,,"CN¥1,280.00",,,$0.00,,永久,,In stock
12.6mm澳白耳扣（改金色圈圈）,,"CN¥1,999.00",,,$473.43,,安納塔,$759.00,In stock
11-12澳白幸運草吊墜,,CN¥599.00,,,$213.43,,安納塔,$299.00,In stock
11.1澳白乾枯黛妃（改y字）,,CN¥680.00,,,$201.86,,安納塔,$299.00,In stock
10.6大愛心冷光澳白（改流線吊墜）,,CN¥799.00,,,$109.86,,安納塔,$224.00,In stock
11 藍寶石澳白耳飾(特選光背面有暇),,CN¥958.00,,,$0.00,,安納塔,,In stock
9.6孔雀綠三層戒指,,CN¥399.00,卸下來了,$199.00,$0.00,,安納塔,,In stock
12.6克羅心項鍊,,CN¥799.00,,,$184.86,,安納塔,$299.00,In stock
2.5 - 3 baby鏈,,CN¥108.00,,,$0.00,,安納塔,,In stock
18k akoya滿天星手鏈,,"CN¥1,799.00",,$499.00,$0.00,,安納塔,,In stock
12.9路路通（粉光極光）,,"CN¥2,499.00",,$999.00,$0.00,,安納塔,,In stock
11.7鉑金灰麻花戒指,,CN¥499.00,,$249.00,$0.00,,安納塔,,In stock
10.0鉑金灰素丁(棕色),,CN¥699.00,,$299.00,$0.00,,安納塔,,In stock
12mm 澳白星空戒指,,"CN¥1,618.00",,$699.00,$0.00,,安納塔,,In stock
4.5 - 5 baby鏈,,CN¥168.00,,$149.00,$0.00,,安納塔,,In stock
11-12 金珠乾枯,,CN¥299.00,很異形,$149.00,$0.00,,詩錡手作,,In stock
18k 愛心耳釘,,CN¥768.00,,$249.00,$0.00,,美美子,,In stock
12mm澳白水滴（改18k奶嘴）,,"CN¥1,850.00",,,$405.71,,老周思曼,$670.00,In stock
蛇骨鏈 italy 40cm,,CN¥179.00,,,$0.00,2,安納塔,,In stock
球球彈力手鏈 italy,,CN¥218.00,,,$0.00,,安納塔,,In stock
10.2澳白戒指（小羽毛）,,CN¥618.00,不確定做什麼了,,$0.00,,安納塔,,In stock
10.0 澳白海藍寶耳墜,,CN¥999.00,,$399.00,$0.00,,安納塔,,In stock
12.5 大溪地路路通,,CN¥799.00,,$199.00,$0.00,,安納塔,,In stock
10.8澳白路路通（粉光巨亮）,,CN¥688.00,,,$100.71,,安納塔,$199.00,In stock
6.5-7 akoya貝母耳釘,,CN¥198.00,,$199.00,$0.00,,安納塔,,In stock
愛心拉絲耳釘 18k,,CN¥399.00,,$199.00,$0.00,,美美子,,In stock
8.8 akoya 高跟鞋18k,,CN¥799.00,,$299.00,$0.00,,安納塔,,In stock
10.0 大溪地高跟鞋,,CN¥888.00,,$399.00,$0.00,,安納塔,,In stock
13.4金珠任意扣（粉光）,,CN¥888.00,,$399.00,$0.00,,安納塔,,In stock
11.1 大溪地黛妃 18k,,"CN¥1,280.00",,$299.00,$0.00,,安納塔,,In stock
8.6 澳白素丁,,CN¥680.00,,$249.00,$0.00,,安納塔,,In stock
9.1金珠黛妃18k,,CN¥459.00,,$199.00,$0.00,,安納塔,,In stock
